id,bucket,budget,selected_word_indices,comprehensiveness,sufficiency_error,log_odds
0,high,1,,0.0,0.0,0.0
0,high,5,,0.0,0.0,0.0
0,high,10,12,0.0625,-0.0078125,-0.709676482511
0,high,20,12 13,0.0234375,0.937255859375,0.004089985252
0,high,50,12 13 8 10 9 11 7,-0.03125,0.24609375,-0.094490843421
1,high,1,,0.0,0.0,0.0
1,high,5,,0.0,0.0,0.0
1,high,10,,0.0,0.0,0.0
1,high,20,3,0.980375766754,-0.01953125,-8.29025952093
1,high,50,3 1 0,0.979614257812,-0.01171875,-6.511504136125
2,low,1,,0.0,0.0,0.0
2,low,5,0,-0.00390625,0.1171875,0.003913899321
2,low,10,0 4,0.0,0.9609375,0.0
2,low,20,0 4 8 17 23,0.0,0.689453125,-0.011834457647
2,low,50,0 4 8 17 23 5 1 20 13 24 6 16 22,0.0,0.01953125,-1.803593926875
3,medium,1,,0.0,0.0,0.0
3,medium,5,,0.0,0.0,0.0
3,medium,10,,0.0,0.0,0.0
3,medium,20,1,0.0,0.16796875,0.003913899321
3,medium,50,1 5 0,0.0,0.00390625,-0.056466611668
4,low,1,,0.0,0.0,0.0
4,low,5,,0.0,0.0,0.0
4,low,10,0,0.0,0.0,0.0
4,low,20,0 7,0.0,0.0,0.0
4,low,50,0 7 10 9 8 6,0.90185546875,0.0,-1.551574452059
5,high,1,,0.0,0.0,0.0
5,high,5,4,-0.00390625,0.0234375,0.0
5,high,10,4 13,-0.00390625,0.0,0.003960401216
5,high,20,4 13 2 14 17,-0.01171875,0.04296875,0.015748356968
5,high,50,4 13 2 14 17 8 18 20 16 15 5 3 1 6,0.981399536133,0.453125,-1.891842927785
6,medium,1,,0.0,0.0,0.0
6,medium,5,,0.0,0.0,0.0
6,medium,10,,0.0,0.0,0.0
6,medium,20,5,-0.00390625,0.01171875,0.0
6,medium,50,5 2 6,-0.00390625,-0.0078125,-0.032002731086
7,high,1,,0.0,0.0,0.0
7,high,5,,0.0,0.0,0.0
7,high,10,8,0.0,0.0078125,-0.003944778291
7,high,20,8 4 7,0.00390625,-0.00390625,-0.032002731086
7,high,50,8 4 7 14 3 5 2,0.0,0.01171875,-0.855203039894
8,high,1,,0.0,0.0,0.0
8,high,5,,0.0,0.0,0.0
8,high,10,,0.0,0.0,0.0
8,high,20,2,0.0,0.0,0.0
8,high,50,2 1,0.607421875,0.0,-0.089856329122
9,low,1,,0.0,0.0,0.0
9,low,5,,0.0,0.0,0.0
9,low,10,8,0.0,0.00390625,0.0
9,low,20,8 9,0.0,0.04296875,-0.007843177461
9,low,50,8 9 1 2 6 0,0.00390625,0.0,0.0
10,high,1,,0.0,0.0,0.0
10,high,5,,0.0,0.0,0.0
10,high,10,5,0.00390625,-0.00390625,0.0
10,high,20,5 17 16,0.00390625,0.991756439209,-0.103612263464
10,high,50,5 17 16 9 6 8 4 11 3,0.00390625,0.140625,-0.130162495558
11,high,1,,0.0,0.0,0.0
11,high,5,10,0.94384765625,0.0078125,-0.201120639227
11,high,10,10 14,0.85205078125,-0.0234375,0.035789107852
11,high,20,10 14 12 6 7,0.961242675781,-0.03125,0.004040409537
11,high,50,10 14 12 6 7 0 3 11 2 15 4 8 19,0.962371826172,0.955688476562,-4.288374066447
12,low,1,,0.0,0.0,0.0
12,low,5,0,0.0,0.998970031738,0.0
12,low,10,0 16,0.0,0.943359375,0.0
12,low,20,0 16 1 2 14,0.0,0.34765625,0.0
12,low,50,0 16 1 2 14 22 15 13 17 3 4 10 6 12,0.0,0.0,0.0
13,high,1,,0.0,0.0,0.0
13,high,5,,0.0,0.0,0.0
13,high,10,9,-0.0703125,-0.125,0.110281125005
13,high,20,9 12 8,0.849487304688,-0.125,-3.63646571143
13,high,50,9 12 8 13 14 0 10,-0.03515625,-0.1171875,-0.144481582555
14,low,1,,0.0,0.0,0.0
14,low,5,0,0.0,0.973999023438,0.0
